mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,std dev,std dev,std dev,std dev,std dev,std dev,std dev,std dev,std dev,std dev,std dev,std dev,skewness,skewness,skewness,skewness,skewness,skewness,skewness,skewness,skewness,skewness,skewness,skewness,kurtosis,kurtosis,kurtosis,kurtosis,kurtosis,kurtosis,kurtosis,kurtosis,kurtosis,kurtosis,kurtosis,kurtosis,class-ID
phase 1,phase 1,phase 1,phase 2,phase 2,phase 2,phase 1,phase 1,phase 1,phase 2,phase 2,phase 2,phase 1,phase 1,phase 1,phase 2,phase 2,phase 2,phase 1,phase 1,phase 1,phase 2,phase 2,phase 2,phase 1,phase 1,phase 1,phase 2,phase 2,phase 2,phase 1,phase 1,phase 1,phase 2,phase 2,phase 2,phase 1,phase 1,phase 1,phase 2,phase 2,phase 2,phase 1,phase 1,phase 1,phase 2,phase 2,phase 2,
IMF1,IMF2,IMF3,IMF1,IMF2,IMF3,RES1,RES2,RES3,RES1,RES2,RES3,IMF1,IMF2,IMF3,IMF1,IMF2,IMF3,RES1,RES2,RES3,RES1,RES2,RES3,IMF1,IMF2,IMF3,IMF1,IMF2,IMF3,RES1,RES2,RES3,RES1,RES2,RES3,IMF1,IMF2,IMF3,IMF1,IMF2,IMF3,RES1,RES2,RES3,RES1,RES2,RES3,
-2.23E-05,3.46E-05,0.00014637,9.22E-07,-2.40E-05,3.13E-05,0.016858,0.016823,0.016677,-0.031614,-0.03159,-0.031621,0.0025831,0.0013035,0.0040202,0.0025527,0.0014339,0.0066997,1.7883,1.7884,1.7879,1.7828,1.7827,1.7815,-0.0050869,0.19646,-0.66844,-0.026235,-0.54019,-0.033467,-0.0066811,-0.0067147,-0.0067564,0.0078543,0.0078998,0.0077467,-0.65156,0.80051,9.1138,-0.6484,2.7161,4.1845,-1.5017,-1.5016,-1.5013,-1.496,-1.4959,-1.4953,1
-3.56E-06,9.10E-06,0.00022594,-1.70E-05,9.33E-06,0.00017688,0.027763,0.027754,0.027528,-0.029374,-0.029383,-0.02956,0.0022426,0.0011765,0.0039288,0.0021872,0.0012322,0.0026038,1.3275,1.3275,1.3268,1.3301,1.33,1.3295,-0.0063506,0.30307,-0.34637,0.0028593,0.084745,0.57779,0.0092812,0.0092601,0.0087777,-0.014878,-0.014857,-0.015089,-0.67977,1.5975,4.1492,-0.73075,0.41178,3.9781,-1.5031,-1.503,-1.5029,-1.4915,-1.4915,-1.4918,1
-2.66E-06,2.72E-06,-1.90E-05,-5.74E-06,-4.60E-06,-1.67E-05,0.027477,0.027474,0.027493,-0.040968,-0.040964,-0.040947,0.0007693,0.00024073,0.00055337,0.00075811,0.00023086,0.00048734,0.90464,0.90464,0.90461,0.90792,0.90793,0.90793,0.010613,-0.38465,-0.29101,0.011313,0.10146,-0.3567,-0.0045826,-0.0045684,-0.0045576,-0.0079209,-0.007928,-0.0078842,-0.64363,7.2955,3.8594,-0.6069,2.9067,4.0697,-1.4936,-1.4937,-1.4937,-1.5002,-1.5002,-1.5001,1
-1.06E-05,6.59E-06,-8.68E-05,-2.28E-06,5.64E-05,5.31E-05,0.015939,0.015933,0.016019,-0.039198,-0.039254,-0.039307,0.0021951,0.0011523,0.0044547,0.0021792,0.0012109,0.002972,1.3001,1.3001,1.2993,1.2995,1.2995,1.299,-0.013532,0.047262,-0.34059,-0.017865,0.44043,0.034682,-0.011356,-0.011321,-0.011193,-0.0016608,-0.0017264,-0.0020124,-0.71838,1.1458,2.6626,-0.71165,3.4528,2.054,-1.498,-1.498,-1.4976,-1.504,-1.504,-1.5036,1
-8.07E-06,2.15E-05,3.35E-05,1.55E-05,3.63E-05,4.58E-05,0.017712,0.01769,0.017657,-0.020525,-0.020561,-0.020607,0.0029313,0.0017428,0.0065913,0.0028802,0.0016828,0.0055952,2.224,2.2238,2.2228,2.2261,2.226,2.2248,-0.016151,-0.039287,-1.391,-0.017444,0.4273,0.38765,0.00031961,0.00034315,6.36E-05,0.011909,0.011879,0.012051,-0.5644,0.8761,9.1921,-0.50768,3.2571,2.8383,-1.5081,-1.5082,-1.5073,-1.4964,-1.4964,-1.4963,1
-1.61E-06,-5.39E-05,1.63E-05,-4.97E-06,7.24E-05,0.00033276,0.015746,0.0158,0.015783,-0.034235,-0.034308,-0.034641,0.0025715,0.001546,0.0034371,0.002534,0.0016911,0.0049982,1.7773,1.7773,1.7768,1.7828,1.7827,1.7819,-0.021214,-0.62499,0.12129,-0.025103,0.25377,0.48715,-0.0027574,-0.00266,-0.0028541,0.011122,0.011104,0.010647,-0.63732,3.0082,2.6098,-0.64142,4.1404,8.4359,-1.5042,-1.5042,-1.5042,-1.4931,-1.4931,-1.4929,1
1.14E-05,1.30E-05,-0.00012328,1.13E-06,6.98E-05,0.00046644,0.017665,0.017652,0.017776,-0.030063,-0.030133,-0.0306,0.0026174,0.0015928,0.0047136,0.0025319,0.0013897,0.0059814,1.7858,1.7856,1.7848,1.7865,1.7864,1.7857,-0.020299,0.082327,-0.27551,-0.019189,0.45328,1.1513,-0.0025808,-0.0026126,-0.0022187,0.011718,0.011618,0.011679,-0.64117,4.1999,3.1938,-0.63826,2.0177,7.0146,-1.5039,-1.5039,-1.5041,-1.4914,-1.4914,-1.4916,1
-5.02E-06,3.35E-06,-5.52E-06,-4.30E-06,-2.12E-06,1.90E-05,0.033818,0.033814,0.03382,-0.047625,-0.047623,-0.047642,0.00079359,0.00027974,0.00055006,0.00077286,0.00023353,0.00052814,1.3372,1.3372,1.3372,1.3351,1.3351,1.3351,0.015543,-0.29099,0.10747,0.0042552,-0.063762,0.81574,-0.0028025,-0.0028055,-0.0028268,0.0001179,0.00012128,9.90E-05,-0.57921,12.523,11.697,-0.55533,2.0853,14.049,-1.4978,-1.4978,-1.4978,-1.4989,-1.4989,-1.4988,1
